INFO 2023-01-03 21:51:17,946 basehttp 3756 5228 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2023-01-03 21:51:17,947 basehttp 3756 3632 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2023-01-03 21:51:17,955 basehttp 3756 12336 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2023-01-03 21:51:17,955 basehttp 3756 10116 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2023-01-03 21:51:17,968 basehttp 3756 3632 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2023-01-03 21:51:17,972 basehttp 3756 9328 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2023-01-03 21:51:17,977 basehttp 3756 9468 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2023-01-03 21:51:17,978 basehttp 3756 5228 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2023-01-03 21:51:18,226 basehttp 3756 9468 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2023-01-03 21:51:23,508 basehttp 3756 9468 "POST /users/auth/logout/ HTTP/1.1" 200 16725
INFO 2023-01-03 21:51:23,836 basehttp 3756 9468 "GET /__debug__/history_sidebar/?store_id=874c3e56ae69444f8a2fc553e70f204a HTTP/1.1" 200 9878
INFO 2023-01-03 22:04:34,561 autoreload 3756 4992 C:\Users\stefa\Documents\clarusway-FS-DE-03\django\projects\003_FlightReservationApp\users\urls.py changed, reloading.
INFO 2023-01-03 22:04:35,588 autoreload 14916 14008 Watching for file changes with StatReloader
INFO 2023-01-03 22:05:03,792 autoreload 14916 14008 C:\Users\stefa\Documents\clarusway-FS-DE-03\django\projects\003_FlightReservationApp\users\urls.py changed, reloading.
INFO 2023-01-03 22:05:04,739 autoreload 10924 12460 Watching for file changes with StatReloader
WARNING 2023-01-03 22:05:16,165 log 10924 12224 Not Found: /
WARNING 2023-01-03 22:05:16,169 basehttp 10924 12224 "GET / HTTP/1.1" 404 12333
INFO 2023-01-03 22:05:16,337 basehttp 10924 12224 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 200 12378
INFO 2023-01-03 22:05:16,342 basehttp 10924 14788 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 200 13404
INFO 2023-01-03 22:05:16,458 basehttp 10924 14788 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 200 43
INFO 2023-01-03 22:05:16,610 basehttp 10924 14788 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 200 4527
WARNING 2023-01-03 22:05:17,173 log 10924 14788 Not Found: /favicon.ico
WARNING 2023-01-03 22:05:17,174 basehttp 10924 14788 "GET /favicon.ico HTTP/1.1" 404 12395
WARNING 2023-01-03 22:05:27,781 log 10924 14788 Method Not Allowed: /users/register/
WARNING 2023-01-03 22:05:27,782 basehttp 10924 14788 "GET /users/register/ HTTP/1.1" 405 17882
INFO 2023-01-03 22:05:27,834 basehttp 10924 12224 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2023-01-03 22:05:27,839 basehttp 10924 14296 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2023-01-03 22:05:27,841 basehttp 10924 14788 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2023-01-03 22:05:27,863 basehttp 10924 12224 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2023-01-03 22:05:27,865 basehttp 10924 14788 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2023-01-03 22:05:27,875 basehttp 10924 12224 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2023-01-03 22:05:27,876 basehttp 10924 14296 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2023-01-03 22:05:27,879 basehttp 10924 14788 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2023-01-03 22:05:27,891 basehttp 10924 12224 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2023-01-03 22:05:27,892 basehttp 10924 14296 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2023-01-03 22:05:28,079 basehttp 10924 14296 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2023-01-03 22:06:06,337 basehttp 10924 14296 "POST /users/register/ HTTP/1.1" 201 18025
INFO 2023-01-03 22:08:22,841 basehttp 10924 14296 "GET /admin HTTP/1.1" 301 0
INFO 2023-01-03 22:08:22,937 basehttp 10924 14296 "GET /admin/ HTTP/1.1" 302 0
INFO 2023-01-03 22:08:23,096 basehttp 10924 14296 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 11914
INFO 2023-01-03 22:08:23,140 basehttp 10924 14296 "GET /static/admin/css/base.css HTTP/1.1" 200 20344
INFO 2023-01-03 22:08:23,150 basehttp 10924 14788 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 796
INFO 2023-01-03 22:08:23,160 basehttp 10924 12224 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2023-01-03 22:08:23,170 basehttp 10924 12224 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2023-01-03 22:08:23,176 basehttp 10924 14296 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2619
INFO 2023-01-03 22:08:23,177 basehttp 10924 14788 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18854
INFO 2023-01-03 22:08:23,329 basehttp 10924 14296 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
